,time_stamp,moisture_active1,moisture_active2,oxygen,co2,temperature_curing1,temperature_curing2,moisture_curing1,moisture_curing2,methane,temperature_active1,temperature_active2,temperature_active3,temperature_active4,run_id
0,2024-06-29,14.967362958398356,9.911543291517082,14.466904136115327,6641.257137545144,0.0,0.0,103.29240583703121,21.9119847148834,1188.9409225019742,16.110217829083837,16.03854160389212,15.971989585999374,15.924054088895067,0
1,2024-06-30,16.787176681643707,14.923514431871688,12.999907866637828,6624.21061472209,0.0,0.0,66.8463248157976,23.895142606097213,990.8116997958351,17.04031182251683,17.50051281599263,18.47068550849918,17.013907008925383,0
2,2024-07-01,18.37194213870766,19.981339181671203,11.59130032251948,6611.307876779922,0.0,0.0,27.837395739942462,25.975002841487104,787.9537597247175,17.863429090109452,18.981075523853345,21.056360783051463,17.944057188187454,0
3,2024-07-02,29.427474049229197,25.85991851388864,11.781183997698939,6423.148139319391,0.0,0.0,96.23168881309633,28.00637459918993,776.3655781095862,20.01139546545884,21.99228761822357,26.02407581401355,19.12251590914463,0
4,2024-07-03,26.28900241018495,23.08622725723655,11.088019114655896,6480.91564884891,0.0,0.0,101.74125915396193,27.84865318435387,886.0687952732128,23.94703912178971,24.95540500265991,29.9978288164835,22.847942207258775,0
5,2024-07-04,30.290855509466866,19.940334218421928,10.939072008859217,6365.768102070338,0.0,0.0,149.10876841954448,41.86481265926322,941.0358275273904,25.949648168415223,24.998242507321383,29.076481027515054,26.076256854315826,0
6,2024-07-05,25.167593952066845,22.472637174918773,10.717366752503105,6281.924600858314,0.0,0.0,108.0132992997724,49.97135534335068,937.1096846076939,24.20742093783321,22.94221764391536,26.998086595238647,24.526839377184025,0
7,2024-07-06,21.707656872424533,25.02547108309229,10.58838326388062,6188.683645617919,0.0,0.0,67.9565715930713,58.154130903811016,925.6072056998754,21.980325587563243,20.970494207255403,25.044158544736305,22.914043530579725,0
8,2024-07-07,27.21619360078706,23.337643072327513,10.532793239916383,6245.844913887456,0.0,0.0,72.70136828460092,54.651377346975835,921.1922589388945,20.852769114404374,20.67311354866633,23.915170891826637,21.776386187372832,0
9,2024-07-08,32.989517034456725,21.739729567361525,10.516483888646395,6296.866965562942,0.0,0.0,77.81984366302355,50.919533985965266,919.8731614912264,20.054090601502157,20.29236926145265,23.034533312755862,20.59084175881199,0
10,2024-07-09,37.80042548271311,19.998880168725645,10.451252908356135,6353.4171276468105,0.0,0.0,82.93598560252634,47.454478176914456,912.4298449451207,18.915919285609196,20.041430837762736,22.02978715087536,19.49110223564512,0
11,2024-07-10,42.62746017269167,18.328822891994502,10.417764826829455,6406.917714543143,0.0,0.0,88.61783203238161,43.88226982137868,908.467260406061,18.009034050786898,19.718773952390002,21.013674698066914,18.297165459248077,0
