timestamp,hour,phase,temperature_active1,temperature_active2,temperature_active3,temperature_active4,temperature_curing1,temperature_curing2,moisture_active1,moisture_active2,moisture_curing1,moisture_curing2,oxygen,co2,methane,methane_ppm,aeration_on
2025-01-01 00:00:00,0,active,34.81,35.74,34.17,35.25,31.69,32.64,58.05,59.93,44.78,45.51,8.8,0.0,0.0,0.0,1
2025-01-01 01:00:00,1,active,34.57,35.93,34.27,35.4,31.59,32.64,58.12,60.05,44.75,45.53,8.14,0.01,0.0,0.0,0
2025-01-01 02:00:00,2,active,34.89,35.61,34.24,35.11,31.53,32.63,57.92,60.22,44.84,45.59,8.27,0.01,0.0,0.0,0
2025-01-01 03:00:00,3,active,34.92,36.13,34.31,35.4,31.66,32.6,57.81,60.08,44.72,45.45,8.4,0.01,0.0,0.0,0
2025-01-01 04:00:00,4,active,34.41,35.84,34.11,35.21,31.54,32.57,58.01,60.02,44.86,45.58,8.51,0.01,0.0,0.0,0
2025-01-01 05:00:00,5,active,34.52,35.92,34.17,35.3,31.57,32.56,57.94,59.91,44.86,45.51,8.61,0.0,0.0,0.0,0
2025-01-01 06:00:00,6,active,34.78,36.29,34.2,35.56,31.53,32.67,57.96,60.19,44.87,45.63,9.49,0.0,0.0,0.0,1
2025-01-01 07:00:00,7,active,34.7,36.14,34.14,35.46,31.65,32.64,58.02,60.06,44.81,45.61,8.75,0.0,0.0,0.0,0
2025-01-01 08:00:00,8,active,34.75,35.81,34.04,35.48,31.55,32.56,57.93,59.91,44.74,45.6,8.79,0.01,0.0,0.0,0
2025-01-01 09:00:00,9,active,34.6,35.76,34.05,35.06,31.57,32.6,57.95,59.99,44.79,45.44,8.8,0.01,0.0,0.0,0
2025-01-01 10:00:00,10,active,34.91,35.81,33.97,35.71,31.62,32.58,57.96,59.96,44.81,45.56,8.79,0.01,0.0,0.0,0
2025-01-01 11:00:00,11,active,34.89,35.96,34.19,35.16,31.59,32.54,58.1,60.06,44.74,45.48,8.75,0.0,0.0,0.0,0
2025-01-01 12:00:00,12,active,34.77,35.85,34.09,35.65,31.56,32.61,57.97,60.09,44.88,45.56,9.49,0.0,0.0,0.0,1
2025-01-01 13:00:00,13,active,34.95,35.79,33.99,35.56,31.62,32.58,57.87,60.02,44.82,45.39,8.61,0.01,0.0,0.0,0
2025-01-01 14:00:00,14,active,34.84,36.13,33.99,35.48,31.69,32.55,57.87,60.14,44.71,45.45,8.51,0.01,0.0,0.0,0
2025-01-01 15:00:00,15,active,34.6,35.84,33.9,35.22,31.58,32.52,57.98,60.07,44.92,45.66,8.4,0.01,0.0,0.0,0
2025-01-01 16:00:00,16,active,34.82,36.28,34.29,35.4,31.56,32.52,57.87,60.16,44.79,45.6,8.27,0.01,0.0,0.0,0
2025-01-01 17:00:00,17,active,34.58,35.88,34.13,35.29,31.57,32.58,57.84,60.04,44.7,45.54,8.14,0.0,0.0,0.0,0
2025-01-01 18:00:00,18,active,34.91,36.19,33.96,35.38,31.63,32.59,58.03,60.33,44.72,45.5,8.8,0.0,0.0,0.0,1
2025-01-01 19:00:00,19,active,34.74,35.93,34.25,35.33,31.53,32.55,58.03,60.02,44.89,45.48,8.0,0.01,0.0,0.0,0
2025-01-01 20:00:00,20,active,34.72,36.04,34.01,35.01,31.54,32.63,57.94,59.99,44.91,45.58,8.0,0.0,0.0,0.0,0
2025-01-01 21:00:00,21,active,34.63,35.73,33.86,35.58,31.48,32.6,58.0,59.98,44.85,45.54,8.0,0.01,0.0,0.0,0
2025-01-01 22:00:00,22,active,34.97,35.71,34.29,35.36,31.5,32.63,57.99,60.05,44.88,45.69,8.0,0.01,0.0,0.0,0
2025-01-01 23:00:00,23,active,34.73,35.95,34.02,35.29,31.53,32.59,58.02,59.92,44.87,45.55,8.0,0.01,0.0,0.0,0
2025-01-02 00:00:00,24,active,34.84,36.04,34.07,35.42,31.21,32.23,57.81,59.77,44.5,45.19,8.11,0.0,0.0,0.0,1
2025-01-02 01:00:00,25,active,34.85,35.87,34.14,35.58,31.31,32.28,57.54,59.58,44.49,45.08,8.0,0.01,0.0,0.0,0
2025-01-02 02:00:00,26,active,35.01,35.63,34.34,35.36,31.25,32.2,57.74,59.76,44.5,45.16,8.0,0.01,0.0,0.0,0
2025-01-02 03:00:00,27,active,34.98,35.62,34.14,35.11,31.17,32.3,57.81,59.63,44.52,45.2,8.0,0.01,0.0,0.0,0
2025-01-02 04:00:00,28,active,34.99,35.6,33.92,35.59,31.18,32.22,57.73,59.72,44.41,45.16,8.0,0.01,0.0,0.0,0
2025-01-02 05:00:00,29,active,34.99,35.54,34.23,35.61,31.29,32.32,57.76,59.8,44.52,45.15,8.0,0.01,0.0,0.0,0
2025-01-02 06:00:00,30,active,35.29,35.88,34.05,35.48,31.28,32.25,57.83,59.95,44.57,45.21,8.11,0.0,0.0,0.0,1
